eid,date,mealtype,foodtype,people_string
e171,2010/03/06,lunch,fish and chips,
e174,2010/03/07,dinner,steak,
e175,2010/03/08,lunch,chinese food,
e177,2010/03/10,dinner,chinese food,
e180,2010/03/14,dinner,sushi,
e182,2010/03/16,lunch,sandwich,"Carter, Andrew, Emily"
e183,2010/03/16,dinner,indian food,
e186,2010/03/18,lunch,fish and chips,"Emily, Carter, Andrew, Kayden"
e187,2010/03/18,dinner,chinese food,
e189,2010/03/22,dinner,chinese food,
e193,2010/03/24,lunch,sushi,Lydia
e194,2010/03/25,lunch,fish and chips,
e196,2010/03/26,lunch,sushi,"Andrew, Kayden"
e197,2010/03/26,dinner,a burger,
e201,2010/03/29,lunch,sandwich,"Avery, Jackson, Willow, Benjamin"
e205,2010/04/01,lunch,sushi,
e206,2010/04/04,lunch,steak,"Avery, Benjamin"
e208,2010/04/07,lunch,a burger,"Jackson, Benjamin, Willow"
e211,2010/04/11,breakfast,peanut-butter-jam,
e213,2010/04/13,breakfast,peanut-butter-jam,
e214,2010/04/13,lunch,pasta,
e217,2010/04/14,breakfast,cereals,
e219,2010/04/16,lunch,fish and chips,
e220,2010/04/17,dinner,tacos,"Nevaeh, Olivia, Layla"
e223,2010/04/19,lunch,steak,"Benjamin, Willow, Jackson, Avery"
e224,2010/04/20,lunch,sushi,
e225,2010/04/21,dinner,tacos,
e226,2010/04/22,breakfast,toast and cheese,
e228,2010/04/23,dinner,a burger,
e229,2010/04/24,lunch,pasta,
e237,2010/05/02,dinner,indian food,
e242,2010/05/05,lunch,fish and chips,
e243,2010/05/05,dinner,sandwich,"Emily, Andrew, Kayden, Carter"
e245,2010/05/06,breakfast,cereals,
e247,2010/05/08,breakfast,oatmeal,
e250,2010/05/11,lunch,pasta,
e251,2010/05/13,breakfast,peanut-butter-jam,
e252,2010/05/13,dinner,a burger,
e256,2010/05/15,dinner,pasta,
e260,2010/05/18,lunch,tacos,
e263,2010/05/20,lunch,sandwich,"Carter, Kayden, Emily"
e266,2010/05/21,dinner,tacos,
e270,2010/05/24,lunch,a burger,
e271,2010/05/24,dinner,indian food,
e276,2010/05/28,dinner,sandwich,"Andrew, Kayden"
e277,2010/05/29,lunch,indian food,"Andrew, Emily"
e284,2010/06/03,dinner,pasta,"Carter, Emily, Andrew"
e285,2010/06/05,breakfast,"eggs, sausages, and bread",
e287,2010/06/06,dinner,chinese food,
e288,2010/06/07,lunch,fish and chips,
e290,2010/06/09,lunch,sushi,
e291,2010/06/09,dinner,fish and chips,
e295,2010/06/13,breakfast,peanut-butter-jam,
e298,2010/06/15,breakfast,pancakes,
e299,2010/06/15,dinner,tacos,
e302,2010/06/16,breakfast,"eggs, sausages, and bread",
e304,2010/06/17,lunch,pasta,
e308,2010/06/19,dinner,steak,
e312,2010/06/22,breakfast,cereals,
e315,2010/06/25,breakfast,cereals,
e317,2010/06/26,dinner,chinese food,"Emily, Andrew, Carter"
e318,2010/06/27,lunch,indian food,"Kayden, Andrew, Emily"
e322,2010/07/03,dinner,a burger,
e324,2010/07/04,breakfast,cereals,"Carter, Emily, Andrew, Kayden"
e325,2010/07/04,lunch,fish and chips,
e326,2010/07/04,dinner,indian food,
e329,2010/07/05,breakfast,"eggs, sausages, and bread","Andrew, Carter, Kayden, Emily"
e331,2010/07/06,dinner,a burger,"Benjamin, Avery, Jackson"
e333,2010/07/08,breakfast,toast and cheese,
e334,2010/07/08,dinner,fish and chips,"Kayden, Andrew"
e338,2010/07/11,breakfast,oatmeal,
e339,2010/07/11,dinner,fish and chips,
e342,2010/07/12,breakfast,cereals,"Andrew, Carter, Emily"
e346,2010/07/14,lunch,pasta,
e347,2010/07/14,dinner,fish and chips,
e349,2010/07/16,breakfast,pancakes,
e352,2010/07/18,lunch,chinese food,"Avery, Piper, Kinsley, Rylee, Claire, Lydia, Eva, Nora, Hazel, Olivia"
e353,2010/07/18,dinner,indian food,
e357,2010/07/21,breakfast,oatmeal,"Kinsley, Lydia, Avery"
e361,2010/07/23,lunch,a burger,
e365,2010/07/25,dinner,sushi,"Andrew, Kayden"
e368,2010/07/27,lunch,sandwich,
e370,2010/07/28,lunch,steak,"Hazel, Nevaeh, Nora, Olivia, Piper, Claire, Rylee, Avery"
e372,2010/07/29,lunch,indian food,"Carter, Emily, Andrew, Kayden"
e373,2010/07/31,dinner,fish and chips,"Andrew, Emily, Carter, Kayden"
e374,2010/08/02,lunch,indian food,"Benjamin, Jackson, Avery, Willow"
e375,2010/08/05,breakfast,pancakes,"Kayden, Andrew, Emily"
e376,2010/08/05,lunch,sandwich,"Emily, Kayden"
e379,2010/08/07,lunch,a burger,
e381,2010/08/08,breakfast,pancakes,
e385,2010/08/10,dinner,a burger,"Avery, Willow"
e386,2010/08/11,dinner,chinese food,
e391,2010/08/13,breakfast,"eggs, sausages, and bread","Andrew, Kayden, Carter"
e392,2010/08/13,dinner,a burger,"Piper, Nevaeh, Avery, Lydia, Kinsley, Layla, Rylee"
e397,2010/08/16,lunch,tacos,
e400,2010/08/18,dinner,sandwich,
e403,2010/08/20,dinner,chinese food,
e405,2010/08/21,lunch,sushi,"Benjamin, Jackson, Willow, Avery"
e406,2010/08/22,breakfast,peanut-butter-jam,
e409,2010/08/23,dinner,fish and chips,
e417,2010/08/28,lunch,a burger,"Eva, Kinsley, Layla, Nevaeh, Claire, Hazel, Olivia, Avery, Piper"
e422,2010/09/01,lunch,a burger,"Kayden, Andrew, Emily, Carter"
e423,2010/09/01,dinner,fish and chips,
e426,2010/09/02,lunch,tacos,
e427,2010/09/02,dinner,chinese food,"Andrew, Kayden, Emily, Carter"
e428,2010/09/03,breakfast,toast and cheese,
e430,2010/09/04,dinner,indian food,"Emily, Andrew, Carter, Kayden"
e440,2010/09/11,breakfast,peanut-butter-jam,
e442,2010/09/12,dinner,chinese food,
e444,2010/09/13,breakfast,toast and cheese,
e446,2010/09/15,lunch,tacos,"Emily, Kayden, Andrew, Carter"
e448,2010/09/17,dinner,tacos,"Kinsley, Hazel, Eva, Piper"
e451,2010/09/18,breakfast,"eggs, sausages, and bread",Jackson
e452,2010/09/18,lunch,sandwich,
e454,2010/09/19,breakfast,cereals,"Willow, Benjamin, Jackson"
e456,2010/09/20,lunch,chinese food,Nevaeh
e458,2010/09/23,lunch,sandwich,"Eva, Lydia, Nevaeh, Hazel, Piper, Rylee, Layla, Kinsley, Piper"
e462,2010/09/26,lunch,sandwich,"Emily, Andrew"
e465,2010/09/27,dinner,sandwich,
e468,2010/09/28,breakfast,oatmeal,"Avery, Benjamin, Willow"
e469,2010/09/28,lunch,fish and chips,"Emily, Andrew, Carter"
e471,2010/09/29,breakfast,"eggs, sausages, and bread",
e472,2010/09/30,breakfast,toast and cheese,Carter
e473,2010/09/30,dinner,sandwich,
e475,2010/10/01,breakfast,oatmeal,Jackson
e476,2010/10/02,dinner,indian food,
e478,2010/10/04,lunch,tacos,
e481,2010/10/05,lunch,steak,
e482,2010/10/05,dinner,sushi,
e485,2010/10/11,lunch,steak,
e486,2010/10/12,lunch,tacos,"Emily, Kayden"
e489,2010/10/15,lunch,steak,
e492,2010/10/16,dinner,fish and chips,
e496,2010/10/18,lunch,indian food,
e500,2010/10/21,lunch,steak,"Emily, Carter"
e501,2010/10/22,lunch,sushi,
e502,2010/10/22,dinner,steak,"Kayden, Emily, Carter, Andrew"
e506,2010/10/24,breakfast,toast and cheese,
e507,2010/10/24,lunch,pasta,
e509,2010/10/26,dinner,sandwich,
e510,2010/10/27,dinner,pasta,
e512,2010/10/30,lunch,pasta,
e516,2010/11/01,lunch,a burger,
e517,2010/11/01,dinner,fish and chips,
e520,2010/11/03,dinner,a burger,
e521,2010/11/06,lunch,sushi,
e522,2010/11/06,dinner,tacos,
e527,2010/11/12,lunch,chinese food,
e529,2010/11/13,dinner,a burger,"Emily, Andrew, Carter"
e531,2010/11/14,lunch,steak,
e532,2010/11/14,dinner,pasta,
e535,2010/11/17,lunch,chinese food,
e538,2010/11/22,lunch,sandwich,"Kayden, Andrew, Carter"
e542,2010/11/26,lunch,fish and chips,
e543,2010/11/26,dinner,fish and chips,
e546,2010/11/30,lunch,steak,Jackson
e550,2010/12/04,lunch,chinese food,"Piper, Lydia, Nevaeh, Hazel, Claire, Eva, Kinsley, Piper, Layla"
e554,2010/12/05,breakfast,cereals,
e556,2010/12/06,dinner,sushi,"Olivia, Nora, Eva, Layla, Lydia, Piper, Avery, Kinsley, Hazel, Rylee, Piper, Claire, Nevaeh"
e559,2010/12/10,lunch,pasta,"Kayden, Carter, Andrew, Emily"
e560,2010/12/10,dinner,sushi,
e566,2010/12/14,breakfast,oatmeal,"Emily, Kayden"
e567,2010/12/14,lunch,sushi,
e568,2010/12/14,dinner,steak,
e569,2010/12/16,breakfast,oatmeal,"Kayden, Carter"
e579,2010/12/23,breakfast,pancakes,
e583,2010/12/26,breakfast,"eggs, sausages, and bread",
e585,2010/12/28,dinner,steak,"Willow, Benjamin"
e688,2011/01/02,breakfast,oatmeal,Kayden
e690,2011/01/03,breakfast,oatmeal,
e691,2011/01/03,lunch,chinese food,
e692,2011/01/04,dinner,chinese food,
e694,2011/01/06,dinner,pasta,
e698,2011/01/07,lunch,pasta,"Carter, Emily, Kayden"
e701,2011/01/09,breakfast,cereals,"Avery, Benjamin"
e702,2011/01/09,lunch,indian food,
e703,2011/01/10,lunch,tacos,"Carter, Andrew, Emily, Kayden"
e705,2011/01/11,lunch,chinese food,"Andrew, Kayden"
e716,2011/01/20,lunch,fish and chips,"Kayden, Emily"
e719,2011/01/22,breakfast,toast and cheese,
e720,2011/01/23,breakfast,cereals,
e722,2011/01/24,lunch,steak,
e723,2011/01/25,breakfast,toast and cheese,"Jackson, Avery, Willow"
e726,2011/01/27,breakfast,oatmeal,
e727,2011/01/27,lunch,chinese food,
e730,2011/01/28,lunch,steak,
e732,2011/01/29,lunch,tacos,
e734,2011/01/31,breakfast,pancakes,
e735,2011/01/31,dinner,tacos,"Benjamin, Willow, Avery, Jackson"
e736,2011/02/01,dinner,chinese food,"Carter, Emily, Kayden, Andrew"
e745,2011/02/06,dinner,tacos,
e750,2011/02/09,lunch,pasta,"Piper, Hazel, Layla, Rylee, Kinsley, Eva, Piper, Avery, Claire, Olivia"
e752,2011/02/10,lunch,steak,
e753,2011/02/11,breakfast,toast and cheese,"Emily, Carter"
e759,2011/02/13,breakfast,peanut-butter-jam,"Kinsley, Lydia, Rylee, Piper, Nevaeh, Nora, Piper, Hazel, Layla, Olivia, Avery"
e760,2011/02/13,dinner,chinese food,
e762,2011/02/16,dinner,indian food,
e764,2011/02/17,lunch,a burger,
e766,2011/02/19,dinner,tacos,"Willow, Avery, Benjamin"
e767,2011/02/20,lunch,indian food,
e769,2011/02/21,breakfast,peanut-butter-jam,Willow
e776,2011/02/25,breakfast,"eggs, sausages, and bread","Carter, Andrew"
e778,2011/02/26,dinner,chinese food,Benjamin
e780,2011/02/27,dinner,steak,
e784,2011/03/03,breakfast,cereals,
e787,2011/03/05,breakfast,toast and cheese,
e788,2011/03/06,breakfast,"eggs, sausages, and bread",
e792,2011/03/08,lunch,pasta,Emily
e793,2011/03/08,dinner,sandwich,
e794,2011/03/10,dinner,pasta,"Andrew, Kayden"
e796,2011/03/11,lunch,a burger,
e802,2011/03/18,dinner,pasta,
e803,2011/03/19,breakfast,toast and cheese,
e804,2011/03/19,lunch,steak,
e805,2011/03/19,dinner,pasta,
e809,2011/03/20,lunch,chinese food,
e812,2011/03/22,breakfast,toast and cheese,
e813,2011/03/22,lunch,chinese food,"Olivia, Hazel, Rylee, Lydia, Claire"
e814,2011/03/22,dinner,pasta,"Piper, Avery, Olivia, Hazel"
e820,2011/03/29,lunch,steak,
e822,2011/03/30,breakfast,cereals,
e823,2011/03/30,dinner,chinese food,"Claire, Layla, Hazel, Kinsley, Nevaeh, Avery"
e826,2011/03/31,breakfast,pancakes,
e829,2011/04/02,breakfast,peanut-butter-jam,
e830,2011/04/02,lunch,sushi,
e832,2011/04/04,dinner,pasta,"Piper, Piper, Nevaeh, Nora, Eva, Layla, Olivia"
e836,2011/04/06,breakfast,oatmeal,
e837,2011/04/06,dinner,pasta,
e842,2011/04/09,lunch,fish and chips,
e844,2011/04/10,lunch,pasta,"Benjamin, Avery, Willow, Jackson"
e846,2011/04/11,lunch,chinese food,"Emily, Andrew, Carter, Kayden"
e849,2011/04/12,dinner,fish and chips,"Andrew, Emily, Carter, Kayden"
e851,2011/04/13,lunch,tacos,"Piper, Avery, Claire, Lydia, Hazel, Nora"
e852,2011/04/13,dinner,tacos,"Jackson, Benjamin, Willow"
e857,2011/04/15,breakfast,toast and cheese,
e858,2011/04/16,breakfast,cereals,
e859,2011/04/16,dinner,indian food,"Jackson, Benjamin, Willow, Avery"
e863,2011/04/18,dinner,sushi,
e865,2011/04/20,breakfast,oatmeal,Willow
e874,2011/04/28,lunch,tacos,"Emily, Kayden"
e875,2011/04/29,dinner,fish and chips,"Benjamin, Avery"
e878,2011/04/30,lunch,sandwich,"Andrew, Kayden"
e879,2011/04/30,dinner,steak,"Kayden, Andrew, Emily, Carter"
e883,2011/05/02,breakfast,peanut-butter-jam,"Andrew, Carter"
e884,2011/05/02,dinner,pasta,Willow
e889,2011/05/04,dinner,indian food,"Carter, Kayden, Emily, Andrew"
e892,2011/05/07,lunch,steak,"Piper, Nora, Rylee, Layla, Avery, Kinsley, Nevaeh, Eva, Piper, Hazel"
e893,2011/05/10,lunch,a burger,"Kayden, Andrew, Emily"
e896,2011/05/12,lunch,steak,"Layla, Piper, Olivia"
e898,2011/05/14,lunch,a burger,
e899,2011/05/16,lunch,fish and chips,
e900,2011/05/16,dinner,steak,"Andrew, Carter, Emily, Kayden"
e902,2011/05/17,breakfast,peanut-butter-jam,
e903,2011/05/18,breakfast,peanut-butter-jam,
e904,2011/05/18,dinner,tacos,
e905,2011/05/19,dinner,indian food,"Carter, Andrew"
e906,2011/05/20,breakfast,toast and cheese,"Andrew, Emily"
e911,2011/05/25,breakfast,peanut-butter-jam,Jackson
e915,2011/05/27,breakfast,peanut-butter-jam,
e920,2011/06/02,dinner,sandwich,Carter
e922,2011/06/03,lunch,sandwich,
e924,2011/06/05,breakfast,toast and cheese,Emily
e925,2011/06/05,lunch,indian food,
e928,2011/06/06,lunch,fish and chips,
e931,2011/06/07,dinner,a burger,"Kayden, Emily, Carter"
e935,2011/06/09,lunch,steak,"Benjamin, Avery, Willow"
e936,2011/06/09,dinner,chinese food,
e938,2011/06/10,lunch,fish and chips,
e942,2011/06/14,dinner,sushi,"Jackson, Avery"
e946,2011/06/15,dinner,steak,
e960,2011/06/23,dinner,steak,
e961,2011/06/24,lunch,pasta,
e962,2011/06/24,dinner,pasta,"Willow, Avery"
e963,2011/06/25,dinner,indian food,"Emily, Carter"
e970,2011/06/30,breakfast,toast and cheese,
e972,2011/07/02,lunch,steak,
e973,2011/07/02,dinner,tacos,"Avery, Jackson, Benjamin, Willow"
e975,2011/07/03,dinner,steak,Emily
e977,2011/07/05,dinner,sandwich,
e979,2011/07/07,breakfast,peanut-butter-jam,
e980,2011/07/07,dinner,a burger,
e984,2011/07/09,breakfast,cereals,
e987,2011/07/10,breakfast,pancakes,Emily
e988,2011/07/10,dinner,sushi,"Emily, Kayden, Carter"
e989,2011/07/11,lunch,steak,
e991,2011/07/12,lunch,a burger,
e992,2011/07/12,dinner,a burger,
e996,2011/07/16,dinner,sandwich,Carter
e1001,2011/07/21,lunch,a burger,
e1004,2011/07/22,dinner,steak,
e1006,2011/07/23,lunch,a burger,
e1007,2011/07/23,dinner,chinese food,"Avery, Jackson, Benjamin"
e1008,2011/07/25,breakfast,"eggs, sausages, and bread",
e1010,2011/07/26,lunch,indian food,"Jackson, Avery"
e1012,2011/07/29,breakfast,cereals,
e1017,2011/08/01,breakfast,oatmeal,Rylee
e1019,2011/08/02,lunch,tacos,"Emily, Andrew, Kayden, Carter"
e1020,2011/08/03,breakfast,oatmeal,"Carter, Kayden, Andrew, Emily"
e1022,2011/08/04,lunch,sandwich,
e1023,2011/08/04,dinner,a burger,
e1026,2011/08/06,breakfast,toast and cheese,
e1031,2011/08/10,breakfast,peanut-butter-jam,
e1033,2011/08/12,lunch,steak,
e1034,2011/08/13,dinner,tacos,Emily
e1036,2011/08/14,breakfast,toast and cheese,"Kayden, Andrew, Carter, Emily"
e1038,2011/08/15,lunch,indian food,"Andrew, Emily, Kayden"
e1040,2011/08/16,dinner,sushi,
e1041,2011/08/17,breakfast,pancakes,"Andrew, Carter, Emily"
e1042,2011/08/18,dinner,chinese food,"Andrew, Carter, Kayden"
e1045,2011/08/20,breakfast,"eggs, sausages, and bread","Kayden, Andrew, Emily, Carter"
e1046,2011/08/20,lunch,chinese food,
e1048,2011/08/22,breakfast,toast and cheese,
e1050,2011/08/23,breakfast,oatmeal,
e1053,2011/08/25,dinner,fish and chips,Claire
e1054,2011/08/26,breakfast,toast and cheese,
e1055,2011/08/26,lunch,a burger,
e1058,2011/08/27,lunch,chinese food,
e1060,2011/08/28,dinner,indian food,
e1062,2011/08/30,dinner,chinese food,
e1063,2011/08/31,dinner,steak,
e1065,2011/09/01,dinner,sandwich,
e1072,2011/09/08,lunch,sushi,"Claire, Hazel, Eva, Piper, Rylee, Piper, Lydia, Kinsley, Layla, Nevaeh, Olivia, Nora, Avery"
e1073,2011/09/08,dinner,pasta,"Jackson, Benjamin"
e1077,2011/09/10,breakfast,cereals,"Willow, Avery"
e1081,2011/09/13,breakfast,peanut-butter-jam,
e1082,2011/09/13,lunch,a burger,"Hazel, Nevaeh, Lydia, Nora, Eva, Claire, Layla, Rylee, Piper, Kinsley, Olivia, Avery"
e1088,2011/09/17,breakfast,toast and cheese,
e1089,2011/09/18,breakfast,peanut-butter-jam,
e1090,2011/09/18,dinner,tacos,Andrew
e1097,2011/09/22,breakfast,cereals,"Carter, Kayden"
e1099,2011/09/23,lunch,chinese food,
e1101,2011/09/24,breakfast,toast and cheese,
e1102,2011/09/24,dinner,indian food,
e1103,2011/09/25,breakfast,toast and cheese,
e1106,2011/09/26,breakfast,"eggs, sausages, and bread",
e1109,2011/09/28,breakfast,oatmeal,
e1113,2011/10/01,breakfast,peanut-butter-jam,"Andrew, Emily, Kayden"
e1114,2011/10/01,dinner,tacos,
e1120,2011/10/04,breakfast,peanut-butter-jam,
e1122,2011/10/06,lunch,sushi,
e1124,2011/10/10,breakfast,pancakes,
e1125,2011/10/10,lunch,a burger,
e1127,2011/10/11,lunch,indian food,
e1129,2011/10/12,breakfast,toast and cheese,
e1130,2011/10/12,dinner,chinese food,Layla
e1134,2011/10/15,dinner,a burger,"Kayden, Emily, Andrew, Carter"
e1135,2011/10/16,breakfast,toast and cheese,
e1136,2011/10/17,lunch,sushi,"Piper, Layla, Nevaeh, Olivia, Eva, Nora"
e1144,2011/10/21,breakfast,toast and cheese,
e1149,2011/10/24,breakfast,oatmeal,
e1150,2011/10/24,dinner,pasta,
e1165,2011/11/11,breakfast,toast and cheese,
e1168,2011/11/14,lunch,tacos,
e1169,2011/11/14,dinner,sandwich,
e1174,2011/11/18,dinner,indian food,
e1176,2011/11/22,breakfast,"eggs, sausages, and bread",
e1177,2011/11/22,lunch,chinese food,
e1178,2011/11/22,dinner,sushi,
e1179,2011/11/24,lunch,sushi,
e1181,2011/11/25,lunch,fish and chips,"Avery, Willow"
e1183,2011/11/28,breakfast,oatmeal,
e1184,2011/11/29,dinner,tacos,
e1188,2011/12/01,dinner,a burger,
e1192,2011/12/04,breakfast,cereals,
e1193,2011/12/04,dinner,sandwich,"Andrew, Emily, Kayden, Carter"
e1195,2011/12/05,dinner,sandwich,
e1197,2011/12/06,lunch,chinese food,
e1208,2011/12/14,breakfast,toast and cheese,
e1209,2011/12/14,dinner,tacos,
e1212,2011/12/18,dinner,indian food,"Emily, Kayden, Carter, Andrew"
e1217,2011/12/22,dinner,chinese food,
e1222,2011/12/25,dinner,sushi,
e1225,2011/12/29,breakfast,toast and cheese,"Emily, Kayden"
e1229,2011/12/31,breakfast,"eggs, sausages, and bread",
e1318,2012/01/05,dinner,sushi,
e1319,2012/01/06,breakfast,oatmeal,
e1320,2012/01/06,lunch,sandwich,
e1321,2012/01/08,lunch,tacos,
e1324,2012/01/11,breakfast,toast and cheese,
e1325,2012/01/12,breakfast,cereals,
e1327,2012/01/14,dinner,sandwich,
e1329,2012/01/15,lunch,sushi,
e1330,2012/01/16,lunch,chinese food,
e1331,2012/01/17,dinner,sandwich,Rylee
e1332,2012/01/19,dinner,sandwich,
e1334,2012/01/23,dinner,sushi,
e1339,2012/01/26,lunch,indian food,
e1340,2012/01/27,breakfast,oatmeal,
e1342,2012/01/28,lunch,steak,"Lydia, Nora, Piper, Rylee, Kinsley, Hazel, Layla"
e1343,2012/01/31,breakfast,oatmeal,
e1346,2012/02/02,dinner,tacos,"Avery, Benjamin, Willow, Jackson"
e1352,2012/02/07,lunch,fish and chips,Emily
e1355,2012/02/09,lunch,indian food,
e1357,2012/02/10,breakfast,peanut-butter-jam,"Layla, Rylee, Lydia"
e1358,2012/02/10,lunch,fish and chips,
e1361,2012/02/12,breakfast,oatmeal,"Benjamin, Avery, Willow, Jackson"
e1363,2012/02/13,lunch,indian food,
e1368,2012/02/16,breakfast,"eggs, sausages, and bread",
e1369,2012/02/16,dinner,sandwich,Emily
e1371,2012/02/17,breakfast,oatmeal,"Benjamin, Avery"
e1372,2012/02/17,dinner,steak,
e1374,2012/02/18,lunch,sushi,"Benjamin, Avery"
e1375,2012/02/21,lunch,pasta,
e1376,2012/02/21,dinner,pasta,Nora
e1377,2012/02/23,lunch,tacos,
e1380,2012/02/26,lunch,a burger,Carter
e1383,2012/03/03,lunch,indian food,
e1386,2012/03/05,lunch,sandwich,
e1387,2012/03/05,dinner,pasta,"Claire, Nevaeh, Piper, Hazel, Lydia, Rylee, Kinsley, Avery, Olivia, Nora, Layla"
e1389,2012/03/06,dinner,sandwich,"Piper, Olivia, Eva, Rylee, Nora, Layla, Nevaeh, Hazel, Claire"
e1391,2012/03/07,lunch,sushi,
e1394,2012/03/09,lunch,sushi,
e1395,2012/03/10,dinner,chinese food,
e1397,2012/03/12,breakfast,peanut-butter-jam,"Olivia, Rylee, Piper"
e1398,2012/03/12,lunch,steak,
e1400,2012/03/13,lunch,a burger,Eva
e1406,2012/03/17,breakfast,"eggs, sausages, and bread",
e1409,2012/03/19,dinner,a burger,
e1414,2012/03/22,dinner,chinese food,
e1417,2012/03/23,lunch,sushi,
e1418,2012/03/24,dinner,indian food,
e1420,2012/03/26,dinner,chinese food,
e1422,2012/03/28,lunch,sandwich,Emily
e1423,2012/03/29,lunch,tacos,"Andrew, Emily"
e1424,2012/03/29,dinner,chinese food,
e1425,2012/03/30,breakfast,"eggs, sausages, and bread",
e1428,2012/04/03,dinner,indian food,"Andrew, Kayden, Carter, Emily"
e1430,2012/04/04,lunch,fish and chips,"Kayden, Carter, Andrew"
e1431,2012/04/07,lunch,steak,"Andrew, Kayden, Emily, Carter"
e1432,2012/04/08,dinner,indian food,
e1433,2012/04/09,breakfast,pancakes,"Benjamin, Willow, Jackson, Avery"
e1437,2012/04/10,lunch,chinese food,Emily
e1439,2012/04/11,lunch,indian food,
e1443,2012/04/13,dinner,sushi,
e1445,2012/04/14,lunch,sushi,
e1450,2012/04/19,lunch,fish and chips,
e1451,2012/04/19,dinner,steak,"Piper, Olivia, Kinsley, Nora, Lydia, Avery, Hazel, Rylee"
e1453,2012/04/20,dinner,indian food,
e1454,2012/04/21,breakfast,cereals,
e1455,2012/04/21,dinner,a burger,
e1456,2012/04/22,dinner,sushi,
e1459,2012/04/24,lunch,fish and chips,
e1460,2012/04/24,dinner,sandwich,Kayden
e1467,2012/04/28,breakfast,toast and cheese,
e1469,2012/04/29,dinner,a burger,
e1471,2012/05/01,breakfast,pancakes,
e1473,2012/05/04,breakfast,oatmeal,
e1474,2012/05/04,lunch,chinese food,Benjamin
e1475,2012/05/04,dinner,sushi,"Andrew, Carter, Emily"
e1478,2012/05/06,breakfast,toast and cheese,"Avery, Jackson"
e1482,2012/05/08,lunch,pasta,"Olivia, Hazel, Piper, Claire, Kinsley, Lydia, Nora, Piper, Layla, Rylee, Nevaeh, Eva, Avery"
e1483,2012/05/09,breakfast,pancakes,
e1486,2012/05/13,breakfast,pancakes,"Jackson, Willow, Avery"
e1487,2012/05/13,dinner,tacos,"Hazel, Piper"
e1488,2012/05/14,lunch,chinese food,
e1489,2012/05/14,dinner,sandwich,
e1490,2012/05/15,lunch,fish and chips,
e1495,2012/05/18,lunch,sandwich,
e1496,2012/05/18,dinner,indian food,
e1497,2012/05/19,lunch,a burger,
e1498,2012/05/19,dinner,indian food,"Rylee, Avery, Nevaeh"
e1505,2012/05/24,breakfast,"eggs, sausages, and bread","Rylee, Kinsley, Layla, Avery, Lydia, Eva"
e1508,2012/05/26,dinner,chinese food,
e1515,2012/05/29,breakfast,pancakes,
e1516,2012/05/30,breakfast,peanut-butter-jam,
e1520,2012/06/02,breakfast,toast and cheese,
e1521,2012/06/03,breakfast,pancakes,"Avery, Jackson, Benjamin"
e1525,2012/06/05,lunch,tacos,"Olivia, Lydia, Kinsley, Nora, Nevaeh"
e1526,2012/06/06,breakfast,"eggs, sausages, and bread",Willow
e1527,2012/06/06,lunch,a burger,
e1528,2012/06/07,breakfast,oatmeal,
e1531,2012/06/09,lunch,tacos,"Olivia, Eva, Claire"
e1532,2012/06/09,dinner,steak,
e1534,2012/06/10,dinner,sandwich,
e1543,2012/06/16,lunch,fish and chips,
