eid,start_date,end_date,city,place_visit_date,place,people,action,emotion
e20246,2016/03/27,2016/04/02,"London, UK",2016/03/30,Camden,Piper,took a selfie,happy
e20247,2016/03/27,2016/04/02,"London, UK",2016/03/31,Tower of London,Piper,recorded some videos,special
e20248,2016/03/27,2016/04/02,"London, UK",2016/04/01,Hyde Park,Piper,bought some souvenirs,special
e23610,2017/01/10,2017/01/21,"Sydney, Australia",2017/01/11,Bondi Beach,"Andrew, Kayden",took a selfie,happy
e23611,2017/01/10,2017/01/21,"Sydney, Australia",2017/01/12,Sydney Opera House,"Andrew, Kayden",bought some souvenirs,special
e23612,2017/01/10,2017/01/21,"Sydney, Australia",2017/01/13,Sydney Harbour Bridge,"Andrew, Kayden",took a selfie,impressed
e27007,2018/03/20,2018/03/26,"Seoul, South Korea",2018/03/21,Lotte World Tower,Avery,took a group photo,special
e27008,2018/03/20,2018/03/26,"Seoul, South Korea",2018/03/22,National Museum Of Korea,Avery,bought some souvenirs,special
e27009,2018/03/20,2018/03/26,"Seoul, South Korea",2018/03/23,N Seoul Tower,Avery,took a selfie,special
e30416,2019/02/21,2019/03/02,"Bangkok, Thailand",2019/02/22,Wat Traimit,"Lydia, Hazel",recorded some videos,happy
e30417,2019/02/21,2019/03/02,"Bangkok, Thailand",2019/02/23,Grand Palace,"Lydia, Hazel",took a group photo,impressed
e30418,2019/02/21,2019/03/02,"Bangkok, Thailand",2019/02/24,National Museum & Wang Na Palace,"Lydia, Hazel",recorded some videos,special
e30419,2019/02/21,2019/03/02,"Bangkok, Thailand",2019/02/25,Wat Suthat,"Lydia, Hazel",took a group photo,special
e30420,2019/02/21,2019/03/02,"Bangkok, Thailand",2019/02/26,Wat Arun,"Lydia, Hazel",took a group photo,special
e33785,2020/05/01,2020/05/12,"Paris, France",2020/05/02,Eiffel Tower,Piper,took a group photo,impressed
e33786,2020/05/01,2020/05/12,"Paris, France",2020/05/03,Notre Dame Cathedral,Piper,recorded some videos,impressed
e33787,2020/05/01,2020/05/12,"Paris, France",2020/05/04,Montmartre,Piper,took a group photo,impressed
e33788,2020/05/01,2020/05/12,"Paris, France",2020/05/05,Champs Elysées,Piper,took a selfie,impressed
e33789,2020/05/01,2020/05/12,"Paris, France",2020/05/06,Louvre Museum,Piper,recorded some videos,impressed
e40551,2022/05/24,2022/05/27,"New York, US",2022/05/25,Statue of Liberty,"Claire, Piper",took a selfie,happy
e40552,2022/05/24,2022/05/27,"New York, US",2022/05/26,Central Park,"Claire, Piper",took a selfie,impressed
e40553,2022/05/24,2022/05/27,"New York, US",2022/05/27,Times Square,"Claire, Piper",took a selfie,impressed
e40554,2022/05/24,2022/05/27,"New York, US",2022/05/28,Brooklyn Bridge,"Claire, Piper",took a selfie,happy
e40555,2022/05/24,2022/05/27,"New York, US",2022/05/29,Rockefeller Center,"Claire, Piper",recorded some videos,special
e40556,2022/05/24,2022/05/27,"New York, US",2022/05/30,Metropolitan Museum of Art,"Claire, Piper",took a group photo,happy
e40557,2022/05/24,2022/05/27,"New York, US",2022/05/31,Empire State Building,"Claire, Piper",took a selfie,happy
