eid,start_date,end_date,city,place_visit_date,place,people,action,emotion
e10652,2017/05/12,2017/05/18,"Bangkok, Thailand",2017/05/17,Grand Palace,Andrew,bought some souvenirs,happy
e15114,2020/02/07,2020/02/13,"New Delhi, India",2020/02/08,Gurudwara Bangla Sahib,"Carter, Andrew, Emily",took a group photo,special
e15115,2020/02/07,2020/02/13,"New Delhi, India",2020/02/09,The Lotus Temple,"Carter, Andrew, Emily",took a selfie,happy
e15116,2020/02/07,2020/02/13,"New Delhi, India",2020/02/10,The Red Fort,"Carter, Andrew, Emily",took a group photo,special
e15117,2020/02/07,2020/02/13,"New Delhi, India",2020/02/11,Qutub Minar,"Carter, Andrew, Emily",recorded some videos,impressed
e15118,2020/02/07,2020/02/13,"New Delhi, India",2020/02/12,Lodi Gardens,"Carter, Andrew, Emily",recorded some videos,happy
e16598,2021/02/18,2021/02/22,"Rio, Brazil",2021/02/19,Ipanema,"Emily, Carter, Kayden",took a group photo,happy
e16599,2021/02/18,2021/02/22,"Rio, Brazil",2021/02/20,Sugarloaf,"Emily, Carter, Kayden",bought some souvenirs,special
e16600,2021/02/18,2021/02/22,"Rio, Brazil",2021/02/21,Copacabana,"Emily, Carter, Kayden",recorded some videos,impressed
e16601,2021/02/18,2021/02/22,"Rio, Brazil",2021/02/22,Cristo Redentor,"Emily, Carter, Kayden",took a selfie,happy
e16602,2021/02/18,2021/02/22,"Rio, Brazil",2021/02/23,Carnaval,"Emily, Carter, Kayden",took a group photo,impressed
e18114,2022/01/02,2022/01/09,"Dubai, UAE",2022/01/03,Miracle Garden,"Olivia, Nevaeh, Hazel",recorded some videos,impressed
e18115,2022/01/02,2022/01/09,"Dubai, UAE",2022/01/04,Burj Khalifa,"Olivia, Nevaeh, Hazel",took a group photo,special
e18116,2022/01/02,2022/01/09,"Dubai, UAE",2022/01/05,Dubai Aquarium & Underwater Zoo,"Olivia, Nevaeh, Hazel",took a group photo,special
