eid,date,exercise,heart_rate
e1683,2011/01/09,hiking,137
e1696,2011/01/13,swimming,127
e1721,2011/01/19,biking,159
e1724,2011/01/20,biking,128
e1725,2011/01/21,HIIT,159
e1730,2011/01/23,HIIT,159
e1737,2011/01/25,swimming,165
e1747,2011/01/27,biking,159
e1751,2011/01/28,biking,144
e1770,2011/02/01,hiking,163
e1773,2011/02/02,biking,143
e1778,2011/02/03,biking,144
e1802,2011/02/10,weight lifting,122
e1809,2011/02/12,HIIT,156
e1814,2011/02/13,biking,133
e1867,2011/03/02,running,158
e1875,2011/03/04,weight lifting,140
e1880,2011/03/05,hiking,158
e1884,2011/03/06,swimming,135
e1888,2011/03/07,weight lifting,121
e1892,2011/03/08,running,162
e1904,2011/03/11,HIIT,161
e1924,2011/03/15,hiking,132
e1928,2011/03/16,HIIT,148
e1937,2011/03/18,biking,127
e1943,2011/03/19,HIIT,145
e1949,2011/03/20,hiking,146
e1954,2011/03/21,biking,124
e1957,2011/03/22,weight lifting,124
e1962,2011/03/23,hiking,137
e1976,2011/03/26,running,152
e1983,2011/03/28,running,134
e2001,2011/04/02,weight lifting,151
e2018,2011/04/06,weight lifting,142
e2031,2011/04/12,biking,162
e2033,2011/04/13,biking,143
e2042,2011/04/15,hiking,141
e2047,2011/04/16,biking,165
e2056,2011/04/19,biking,137
e2061,2011/04/20,swimming,164
e2069,2011/04/22,hiking,141
e2083,2011/04/25,weight lifting,152
e2092,2011/04/27,biking,164
e2099,2011/04/28,swimming,154
e2106,2011/04/30,running,139
e2111,2011/05/01,weight lifting,158
e2118,2011/05/02,hiking,121
e2124,2011/05/03,swimming,133
e2130,2011/05/04,running,127
e2133,2011/05/05,hiking,153
e2141,2011/05/07,biking,99
e2144,2011/05/08,HIIT,156
e2152,2011/05/10,hiking,137
e2155,2011/05/11,HIIT,144
e2159,2011/05/13,swimming,158
e2168,2011/05/15,running,151
e2173,2011/05/16,hiking,108
e2181,2011/05/19,HIIT,139
e2189,2011/05/22,running,159
e2192,2011/05/23,swimming,155
e2228,2011/06/01,HIIT,163
e2236,2011/06/03,running,152
e2250,2011/06/06,HIIT,154
e2253,2011/06/07,HIIT,155
e2256,2011/06/08,weight lifting,145
e2262,2011/06/09,biking,149
e2271,2011/06/12,biking,105
e2276,2011/06/14,swimming,156
e2282,2011/06/15,HIIT,140
e2288,2011/06/16,running,141
e2292,2011/06/17,hiking,151
e2297,2011/06/18,running,139
e2302,2011/06/19,weight lifting,132
e2306,2011/06/20,swimming,125
e2315,2011/06/22,hiking,159
e2322,2011/06/24,hiking,143
e2326,2011/06/25,weight lifting,121
e2331,2011/06/27,weight lifting,140
e2343,2011/06/30,HIIT,161
e2352,2011/07/02,biking,158
e2359,2011/07/03,running,136
e2363,2011/07/05,biking,152
e2373,2011/07/07,biking,147
e2382,2011/07/10,biking,153
e2386,2011/07/11,swimming,158
e2389,2011/07/12,biking,129
e2394,2011/07/13,HIIT,157
e2403,2011/07/16,running,161
e2415,2011/07/19,weight lifting,128
e2423,2011/07/21,hiking,149
e2433,2011/07/23,running,163
e2444,2011/07/25,biking,129
e2450,2011/07/26,weight lifting,154
e2456,2011/07/28,running,145
e2474,2011/08/01,swimming,163
e2482,2011/08/03,swimming,163
e2489,2011/08/05,swimming,158
e2502,2011/08/08,hiking,147
e2513,2011/08/11,running,130
e2519,2011/08/12,running,155
e2523,2011/08/13,running,152
e2525,2011/08/14,running,143
e2535,2011/08/17,running,139
e2541,2011/08/19,swimming,129
e2547,2011/08/21,running,154
e2552,2011/08/22,hiking,151
e2555,2011/08/23,hiking,163
e2565,2011/08/26,weight lifting,149
e2577,2011/08/29,biking,135
e2586,2011/08/31,biking,158
e2610,2011/09/06,weight lifting,165
e2625,2011/09/10,hiking,161
e2637,2011/09/12,biking,129
e2639,2011/09/13,hiking,145
e2648,2011/09/15,hiking,124
e2651,2011/09/16,hiking,160
e2655,2011/09/17,swimming,123
e2658,2011/09/18,swimming,140
e2662,2011/09/19,HIIT,159
e2671,2011/09/22,running,156
e2675,2011/09/23,HIIT,133
e2679,2011/09/24,running,155
e2684,2011/09/25,HIIT,156
e2698,2011/09/28,swimming,163
e2711,2011/10/02,HIIT,149
e2719,2011/10/04,biking,148
e2727,2011/10/06,HIIT,161
e2741,2011/10/09,hiking,99
e2745,2011/10/10,running,157
e2761,2011/10/15,running,162
e2777,2011/10/19,hiking,120
e2781,2011/10/20,biking,131
e2787,2011/10/22,weight lifting,98
e2790,2011/10/24,weight lifting,164
e2793,2011/10/25,biking,147
e2798,2011/10/27,weight lifting,152
e2807,2011/10/29,swimming,146
e2812,2011/10/30,running,151
e2836,2011/11/04,hiking,98
e2855,2011/11/09,swimming,99
e2858,2011/11/10,biking,158
e2863,2011/11/11,biking,144
e2867,2011/11/12,swimming,142
e2875,2011/11/14,biking,155
e2884,2011/11/16,hiking,149
e2892,2011/11/19,HIIT,140
e2894,2011/11/20,biking,163
e2900,2011/11/22,biking,132
e2905,2011/11/24,hiking,159
e2911,2011/11/26,biking,162
e2914,2011/11/27,weight lifting,147
e2925,2011/11/30,HIIT,147
e2928,2011/12/01,running,165
e2932,2011/12/02,swimming,158
e2937,2011/12/03,swimming,149
e2941,2011/12/04,weight lifting,158
e2950,2011/12/07,HIIT,146
e2956,2011/12/09,hiking,159
e2961,2011/12/10,swimming,111
e2966,2011/12/12,HIIT,132
e2971,2011/12/13,running,151
e2978,2011/12/15,HIIT,115
e2983,2011/12/16,running,151
e2994,2011/12/18,HIIT,142
e2998,2011/12/19,running,164
e3005,2011/12/21,weight lifting,119
e3014,2011/12/23,running,148
e3017,2011/12/24,biking,117
e3022,2011/12/25,biking,154
e3030,2011/12/27,swimming,163
e3035,2011/12/29,weight lifting,138
e3042,2011/12/31,weight lifting,146
e3179,2012/01/02,hiking,146
e3183,2012/01/04,HIIT,143
e3202,2012/01/09,HIIT,117
e3206,2012/01/10,weight lifting,157
e3214,2012/01/12,swimming,154
e3217,2012/01/13,weight lifting,102
e3228,2012/01/16,running,162
e3251,2012/01/23,running,133
e3254,2012/01/24,weight lifting,140
e3258,2012/01/25,HIIT,162
e3266,2012/01/27,weight lifting,158
e3277,2012/01/31,swimming,164
e3280,2012/02/01,HIIT,145
e3286,2012/02/02,running,150
e3290,2012/02/03,HIIT,126
e3297,2012/02/04,HIIT,140
e3310,2012/02/07,running,121
e3319,2012/02/09,weight lifting,156
e3328,2012/02/11,hiking,118
e3330,2012/02/12,swimming,155
e3334,2012/02/13,weight lifting,145
e3355,2012/02/19,running,110
e3370,2012/02/22,running,160
e3373,2012/02/23,biking,152
e3377,2012/02/24,HIIT,151
e3382,2012/02/25,running,157
e3389,2012/02/27,hiking,120
e3393,2012/02/28,swimming,163
e3403,2012/03/01,swimming,136
e3411,2012/03/03,weight lifting,141
e3427,2012/03/07,hiking,164
e3441,2012/03/11,HIIT,158
e3445,2012/03/12,HIIT,160
e3451,2012/03/13,running,158
e3460,2012/03/15,biking,165
e3464,2012/03/16,weight lifting,156
e3468,2012/03/17,swimming,153
e3479,2012/03/20,HIIT,155
e3483,2012/03/21,running,123
e3486,2012/03/22,HIIT,138
e3494,2012/03/25,weight lifting,154
e3505,2012/03/28,hiking,114
e3515,2012/03/30,swimming,148
e3519,2012/04/01,swimming,161
e3531,2012/04/05,biking,158
e3540,2012/04/08,running,164
e3547,2012/04/09,biking,145
e3550,2012/04/10,running,153
e3555,2012/04/11,weight lifting,136
e3563,2012/04/13,swimming,119
e3573,2012/04/16,weight lifting,105
e3583,2012/04/18,swimming,143
e3591,2012/04/20,HIIT,141
e3599,2012/04/22,biking,108
e3602,2012/04/23,hiking,150
e3603,2012/04/24,HIIT,162
e3613,2012/04/26,running,125
e3617,2012/04/27,running,154
e3625,2012/04/29,swimming,122
e3628,2012/04/30,biking,161
e3693,2012/05/18,hiking,121
e3695,2012/05/19,HIIT,154
e3728,2012/05/26,running,146
e3732,2012/05/28,weight lifting,129
e3750,2012/06/01,biking,153
e3757,2012/06/02,swimming,145
e3762,2012/06/04,swimming,129
e3770,2012/06/06,hiking,152
e3774,2012/06/07,hiking,159
e3778,2012/06/09,HIIT,155
e3780,2012/06/10,hiking,124
e3785,2012/06/11,swimming,161
e3791,2012/06/13,weight lifting,160
e3809,2012/06/20,swimming,130
e3829,2012/06/25,hiking,114
e3840,2012/06/27,HIIT,114
e3850,2012/06/29,swimming,118
e3862,2012/07/02,weight lifting,109
e3868,2012/07/03,running,157
e3872,2012/07/04,running,164
e3877,2012/07/05,hiking,100
e3881,2012/07/06,swimming,115
e3899,2012/07/11,swimming,142
e3903,2012/07/12,weight lifting,92
e3907,2012/07/13,swimming,146
e3912,2012/07/14,hiking,107
e3921,2012/07/16,HIIT,131
e3925,2012/07/17,running,130
e3929,2012/07/18,weight lifting,165
e3937,2012/07/20,biking,165
e3941,2012/07/21,HIIT,163
e3956,2012/07/24,running,123
e3957,2012/07/25,running,159
e3967,2012/07/29,hiking,122
e3971,2012/07/30,HIIT,138
e3990,2012/08/04,HIIT,146
e4001,2012/08/07,hiking,150
e4021,2012/08/12,hiking,165
e4029,2012/08/15,HIIT,105
e4034,2012/08/16,weight lifting,162
e4040,2012/08/18,hiking,152
e4046,2012/08/19,running,142
e4050,2012/08/20,weight lifting,162
e4055,2012/08/21,running,108
e4061,2012/08/23,swimming,165
e4075,2012/08/26,HIIT,112
e4089,2012/08/30,weight lifting,149
e4096,2012/09/01,HIIT,163
e4103,2012/09/02,HIIT,145
e4118,2012/09/06,running,143
e4127,2012/09/09,HIIT,147
e4131,2012/09/10,HIIT,164
e4134,2012/09/11,swimming,148
e4140,2012/09/13,weight lifting,138
e4144,2012/09/14,biking,114
e4150,2012/09/15,running,156
e4156,2012/09/16,weight lifting,146
e4159,2012/09/17,HIIT,123
e4170,2012/09/20,weight lifting,139
e4174,2012/09/21,weight lifting,152
e4188,2012/09/24,running,162
e4203,2012/09/28,weight lifting,156
e4209,2012/09/29,biking,111
e4216,2012/09/30,running,135
e4232,2012/10/06,HIIT,129
e4238,2012/10/07,HIIT,147
e4251,2012/10/10,biking,144
e4263,2012/10/13,hiking,158
e4267,2012/10/14,biking,157
e4271,2012/10/15,biking,155
e4277,2012/10/16,hiking,142
e4282,2012/10/17,swimming,165
e4300,2012/10/22,swimming,156
e4311,2012/10/24,HIIT,165
e4322,2012/10/27,running,145
e4329,2012/10/29,swimming,146
e4335,2012/10/30,biking,137
e4342,2012/11/01,hiking,162
e4346,2012/11/02,biking,138
e4350,2012/11/03,weight lifting,156
e4353,2012/11/04,HIIT,155
e4363,2012/11/06,HIIT,149
e4376,2012/11/09,hiking,160
e4403,2012/11/16,running,155
e4412,2012/11/19,biking,150
e4416,2012/11/20,swimming,155
e4426,2012/11/22,HIIT,119
e4441,2012/11/26,swimming,130
e4445,2012/11/27,running,151
e4451,2012/11/28,weight lifting,159
e4457,2012/11/29,hiking,135
e4473,2012/12/04,running,142
e4480,2012/12/06,swimming,163
e4487,2012/12/08,running,147
e4501,2012/12/11,hiking,135
e4509,2012/12/13,HIIT,125
e4515,2012/12/14,weight lifting,160
e4521,2012/12/15,weight lifting,120
e4523,2012/12/16,biking,147
e4526,2012/12/17,weight lifting,147
e4530,2012/12/18,swimming,156
e4535,2012/12/19,running,131
e4538,2012/12/20,swimming,137
e4546,2012/12/22,swimming,111
e4552,2012/12/23,running,162
e4556,2012/12/24,biking,125
e4572,2012/12/28,swimming,152
e4577,2012/12/30,HIIT,121
e4580,2012/12/31,hiking,158
e4700,2013/01/01,swimming,132
e4707,2013/01/03,swimming,113
e4714,2013/01/05,hiking,123
e4716,2013/01/06,weight lifting,144
e4720,2013/01/07,running,151
e4722,2013/01/08,biking,143
e4724,2013/01/09,weight lifting,154
e4729,2013/01/10,hiking,161
e4740,2013/01/13,HIIT,143
e4757,2013/01/17,swimming,126
e4762,2013/01/18,running,155
e4804,2013/01/30,weight lifting,157
e4808,2013/01/31,running,134
e4815,2013/02/01,HIIT,149
e4823,2013/02/05,hiking,157
e4842,2013/02/11,running,154
e4851,2013/02/13,weight lifting,151
e4869,2013/02/18,running,111
e4872,2013/02/19,swimming,155
e4876,2013/02/20,swimming,126
e4879,2013/02/21,biking,161
e4882,2013/02/22,running,151
e4887,2013/02/23,swimming,151
e4894,2013/02/25,biking,112
e4905,2013/02/28,biking,160
e4910,2013/03/02,hiking,144
e4924,2013/03/05,HIIT,126
e4929,2013/03/06,running,140
e4936,2013/03/09,biking,159
e4946,2013/03/12,hiking,149
e4957,2013/03/14,swimming,145
e4968,2013/03/17,swimming,156
e4980,2013/03/20,hiking,161
e4993,2013/03/23,biking,163
e4998,2013/03/24,biking,142
e5002,2013/03/25,running,108
e5009,2013/03/27,swimming,123
e5014,2013/03/28,hiking,111
e5022,2013/03/30,swimming,129
e5027,2013/03/31,biking,151
e5031,2013/04/01,swimming,130
e5046,2013/04/05,HIIT,139
e5047,2013/04/06,weight lifting,134
e5049,2013/04/07,biking,151
e5050,2013/04/08,weight lifting,157
e5059,2013/04/11,swimming,161
e5068,2013/04/13,swimming,154
e5076,2013/04/15,weight lifting,138
e5084,2013/04/17,swimming,152
e5094,2013/04/20,weight lifting,129
e5098,2013/04/21,running,154
e5103,2013/04/22,weight lifting,111
e5107,2013/04/23,swimming,138
e5120,2013/04/26,HIIT,155
e5132,2013/04/28,biking,164
e5142,2013/04/30,HIIT,91
e5151,2013/05/02,swimming,154
e5167,2013/05/05,running,143
e5179,2013/05/08,running,156
e5188,2013/05/10,running,125
e5195,2013/05/11,running,153
e5199,2013/05/12,running,118
e5205,2013/05/13,swimming,137
e5208,2013/05/14,running,155
e5217,2013/05/17,hiking,101
e5228,2013/05/20,HIIT,156
e5233,2013/05/22,running,145
e5243,2013/05/25,swimming,126
e5250,2013/05/27,hiking,115
e5258,2013/05/29,biking,154
e5262,2013/05/31,swimming,148
e5268,2013/06/01,HIIT,100
e5281,2013/06/05,running,121
e5288,2013/06/06,HIIT,124
e5307,2013/06/11,running,149
e5313,2013/06/13,biking,138
e5319,2013/06/14,biking,117
e5324,2013/06/15,swimming,126
e5328,2013/06/16,biking,121
e5333,2013/06/18,swimming,128
e5337,2013/06/19,weight lifting,147
e5343,2013/06/20,running,148
e5360,2013/06/25,biking,157
e5363,2013/06/26,running,160
e5376,2013/06/30,hiking,125
e5380,2013/07/01,running,165
e5389,2013/07/03,swimming,151
e5392,2013/07/05,running,127
e5399,2013/07/06,hiking,145
e5405,2013/07/07,running,145
e5409,2013/07/08,hiking,131
e5423,2013/07/13,weight lifting,146
e5428,2013/07/14,biking,143
e5433,2013/07/15,weight lifting,146
e5436,2013/07/16,hiking,152
e5440,2013/07/17,hiking,140
e5454,2013/07/21,running,159
e5461,2013/07/23,hiking,156
e5464,2013/07/24,hiking,109
e5468,2013/07/25,swimming,157
e5472,2013/07/26,swimming,147
e5479,2013/07/28,weight lifting,131
e5495,2013/08/01,weight lifting,122
e5502,2013/08/03,swimming,157
e5508,2013/08/05,HIIT,162
e5526,2013/08/09,biking,164
e5529,2013/08/10,swimming,161
e5545,2013/08/15,HIIT,164
e5547,2013/08/16,HIIT,127
e5552,2013/08/18,biking,152
e5557,2013/08/20,biking,164
e5567,2013/08/22,weight lifting,143
e5571,2013/08/23,weight lifting,148
e5575,2013/08/24,swimming,122
e5583,2013/08/26,hiking,144
e5596,2013/08/29,swimming,142
e5618,2013/09/04,weight lifting,147
e5630,2013/09/07,swimming,154
e5649,2013/09/13,biking,144
e5664,2013/09/17,HIIT,125
e5671,2013/09/19,swimming,156
e5687,2013/09/22,biking,148
e5698,2013/09/24,swimming,139
e5708,2013/09/27,hiking,138
e5717,2013/09/30,weight lifting,161
e5724,2013/10/02,running,137
e5726,2013/10/03,hiking,160
e5731,2013/10/04,HIIT,154
e5738,2013/10/07,running,163
e5746,2013/10/10,swimming,160
e5755,2013/10/14,hiking,163
e5764,2013/10/18,running,137
e5783,2013/10/24,hiking,141
e5787,2013/10/25,swimming,157
e5791,2013/10/26,running,152
e5801,2013/10/29,HIIT,151
e5806,2013/10/30,running,165
e5809,2013/10/31,HIIT,150
e5813,2013/11/01,biking,150
e5818,2013/11/03,weight lifting,139
e5829,2013/11/06,weight lifting,149
e5836,2013/11/07,biking,155
e5840,2013/11/08,running,158
e5847,2013/11/09,biking,143
e5855,2013/11/12,weight lifting,140
e5858,2013/11/13,biking,137
e5865,2013/11/15,weight lifting,133
e5868,2013/11/16,swimming,126
e5876,2013/11/18,HIIT,155
e5879,2013/11/19,weight lifting,151
e5895,2013/11/24,hiking,126
e5899,2013/11/25,HIIT,145
e5904,2013/11/27,HIIT,151
e5908,2013/11/28,running,148
e5914,2013/11/29,weight lifting,142
e5922,2013/12/01,weight lifting,148
e5934,2013/12/04,hiking,136
e5937,2013/12/05,swimming,156
e5941,2013/12/06,biking,157
e5962,2013/12/12,swimming,137
e5967,2013/12/13,running,152
e5971,2013/12/14,hiking,141
e5975,2013/12/15,HIIT,160
e5980,2013/12/16,HIIT,145
e5988,2013/12/18,hiking,151
e5992,2013/12/19,running,123
e5997,2013/12/20,weight lifting,164
e6010,2013/12/23,running,147
e6015,2013/12/24,swimming,107
e6024,2013/12/26,swimming,152
e6036,2013/12/30,hiking,145
e6040,2013/12/31,hiking,164
e6179,2014/01/01,swimming,154
e6187,2014/01/04,swimming,107
e6192,2014/01/06,hiking,102
e6210,2014/01/11,running,137
e6214,2014/01/12,running,151
e6247,2014/01/21,HIIT,149
e6262,2014/01/24,weight lifting,149
e6266,2014/01/25,running,140
e6276,2014/01/28,swimming,136
e6282,2014/01/30,running,161
e6285,2014/01/31,swimming,127
e6296,2014/02/03,weight lifting,161
e6301,2014/02/04,weight lifting,131
e6311,2014/02/06,weight lifting,139
e6318,2014/02/08,swimming,106
e6322,2014/02/09,weight lifting,157
e6329,2014/02/10,HIIT,130
e6337,2014/02/11,running,142
e6354,2014/02/15,HIIT,110
e6367,2014/02/18,swimming,122
e6372,2014/02/19,HIIT,143
e6377,2014/02/20,weight lifting,146
e6380,2014/02/21,HIIT,157
e6385,2014/02/22,weight lifting,131
e6389,2014/02/23,running,137
e6410,2014/02/28,swimming,125
e6415,2014/03/01,weight lifting,155
e6421,2014/03/03,biking,165
e6426,2014/03/04,HIIT,143
e6430,2014/03/06,hiking,102
e6434,2014/03/08,HIIT,165
e6443,2014/03/10,weight lifting,146
e6447,2014/03/11,weight lifting,152
e6456,2014/03/13,weight lifting,161
e6471,2014/03/17,HIIT,150
e6475,2014/03/18,hiking,118
e6483,2014/03/20,biking,154
e6489,2014/03/22,hiking,139
e6493,2014/03/23,HIIT,101
e6499,2014/03/25,biking,134
e6506,2014/03/27,weight lifting,127
e6520,2014/03/31,biking,106
e6524,2014/04/01,running,117
e6530,2014/04/02,hiking,121
e6539,2014/04/04,swimming,151
e6544,2014/04/05,swimming,165
e6548,2014/04/06,running,146
e6560,2014/04/09,HIIT,149
e6563,2014/04/10,swimming,140
e6568,2014/04/11,hiking,156
e6577,2014/04/13,weight lifting,127
e6587,2014/04/15,running,152
e6598,2014/04/18,hiking,126
e6602,2014/04/19,HIIT,146
e6606,2014/04/20,swimming,152
e6613,2014/04/21,hiking,124
e6624,2014/04/24,running,128
e6630,2014/04/25,HIIT,117
e6655,2014/05/01,HIIT,160
e6673,2014/05/06,HIIT,142
e6683,2014/05/08,weight lifting,129
e6687,2014/05/09,weight lifting,163
e6711,2014/05/14,hiking,147
e6716,2014/05/15,swimming,129
e6719,2014/05/16,HIIT,152
e6728,2014/05/18,biking,133
e6734,2014/05/19,running,134
e6748,2014/05/22,weight lifting,161
e6768,2014/05/29,swimming,160
e6775,2014/05/31,weight lifting,161
e6782,2014/06/02,biking,119
e6790,2014/06/04,running,160
e6795,2014/06/05,HIIT,134
e6800,2014/06/06,swimming,158
e6804,2014/06/07,hiking,124
e6806,2014/06/08,weight lifting,165
e6810,2014/06/09,running,129
e6816,2014/06/10,HIIT,122
e6826,2014/06/13,running,117
e6833,2014/06/15,running,120
e6839,2014/06/16,HIIT,128
e6849,2014/06/18,swimming,158
e6854,2014/06/19,biking,144
e6861,2014/06/20,swimming,149
e6864,2014/06/21,HIIT,155
e6876,2014/06/24,swimming,160
e6890,2014/06/30,swimming,160
e6900,2014/07/03,swimming,136
e6924,2014/07/09,swimming,147
e6929,2014/07/10,hiking,129
e6937,2014/07/12,weight lifting,162
e6940,2014/07/13,hiking,144
e6945,2014/07/15,running,133
e6949,2014/07/16,weight lifting,135
e6955,2014/07/18,swimming,159
e6960,2014/07/19,weight lifting,126
e6973,2014/07/22,running,165
e6976,2014/07/23,running,137
e6980,2014/07/25,hiking,139
e6990,2014/07/27,HIIT,131
e6995,2014/07/28,biking,142
e6998,2014/07/29,hiking,140
e7001,2014/07/30,hiking,141
e7007,2014/08/01,hiking,153
e7012,2014/08/03,weight lifting,159
e7019,2014/08/07,hiking,148
e7027,2014/08/09,running,112
e7032,2014/08/10,swimming,131
e7036,2014/08/11,hiking,137
e7049,2014/08/14,running,154
e7063,2014/08/17,weight lifting,142
e7078,2014/08/21,weight lifting,153
e7082,2014/08/22,running,139
e7094,2014/08/25,weight lifting,131
e7100,2014/08/26,biking,144
e7105,2014/08/27,weight lifting,137
e7109,2014/08/28,swimming,108
e7112,2014/08/29,running,152
e7117,2014/08/30,biking,157
e7126,2014/09/01,HIIT,148
e7131,2014/09/02,weight lifting,162
e7136,2014/09/03,weight lifting,144
e7154,2014/09/09,biking,155
e7163,2014/09/11,running,164
e7177,2014/09/15,HIIT,148
e7183,2014/09/16,hiking,155
e7188,2014/09/17,weight lifting,156
e7196,2014/09/19,biking,143
e7202,2014/09/20,HIIT,145
e7210,2014/09/22,running,145
e7216,2014/09/23,HIIT,122
e7222,2014/09/25,swimming,128
e7227,2014/09/26,weight lifting,134
e7249,2014/10/03,biking,165
e7259,2014/10/06,hiking,153
